Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
SCRT-USD,Secret USD,0.52572,-0.04678,-8.17%,108.648M,2.709M,2.709M,2.709M,206.665M
ZEN-USD,Horizen USD,7.9281,-0.7192,-8.32%,108.323M,8.374M,8.374M,8.374M,13.663M
ANT-USD,Aragon USD,2.6837,-0.3242,-10.78%,107.428M,9.984M,9.984M,9.984M,40.03M
PUNDIX-USD,Pundi X (New) USD,0.410294,-0.035583,-7.98%,106.058M,4.735M,4.735M,4.735M,258.492M
JOE-USD,JOE USD,0.314733,-0.047762,-13.18%,105.888M,17.421M,17.421M,17.421M,336.437M
VUSDC-USD,Venus USDC USD,0.022089,-0.000005,-0.02%,105.388M,31.208M,31.208M,31.208M,4.771B
DEL-USD,Decimal USD,0.028388,-0.000187,-0.65%,103.686M,"185,902","185,902","185,902",3.653B
API3-USD,API3 USD,1.2785,-0.1098,-7.91%,102.516M,5.897M,5.897M,5.897M,80.188M
PLA7461-USD,PlayDapp USD,0.186315,-0.017203,-8.45%,102.285M,6.959M,6.959M,6.959M,548.992M
GAL11877-USD,Galxe USD,1.3685,-0.1991,-12.70%,102.202M,13.418M,13.418M,13.418M,74.683M
MED-USD,MediBloc USD,0.014789,-0.000755,-4.86%,102.17M,"802,571","802,571","802,571",6.909B
COCOS-USD,Cocos-BCX USD,1.4069,-0.2224,-13.65%,99.965M,27.185M,27.185M,27.185M,71.052M
POLYX-USD,Polymesh USD,0.158419,-0.015803,-9.07%,99.864M,15.571M,15.571M,15.571M,630.38M
CORE23254-USD,Core USD,0.881902,-0.278581,-24.01%,98.289M,34.91M,34.91M,34.91M,111.451M
NFT9816-USD,APENFT USD,0.00000036,-0.00000001,-3.19%,98.56M,8.041M,8.041M,8.041M,277.081T
XNO-USD,Nano USD,0.738601,-0.033398,-4.33%,98.417M,1.032M,1.032M,1.032M,133.248M
KNC-USD,Kyber Network Crystal v2 USD,0.588021,-0.065071,-9.96%,98.278M,7.911M,7.911M,7.911M,167.134M
DESO-USD,Decentralized Social USD,10.91,-0.68,-5.87%,96.946M,"238,584","238,584","238,584",8.885M
RBTC-USD,Rootstock Smart Bitcoin USD,"27,411.27","-1,578.69",-5.45%,96.88M,"47,105","47,105","47,105","3,534"
HUM-USD,Humanscape USD,0.105657,0.002772,2.69%,96.508M,31.007M,31.007M,31.007M,913.409M
DEXE-USD,DeXe USD,2.601,-0.2142,-7.61%,94.867M,1.798M,1.798M,1.798M,36.473M
SYN12147-USD,Synapse USD,0.677531,-0.053739,-7.35%,94.701M,9.898M,9.898M,9.898M,139.773M
LOCUS-USD,Locus Chain USD,0.045341,-0.001498,-3.20%,94.358M,"262,192","262,192","262,192",2.081B
ALI16876-USD,Artificial Liquid Intelligence USD,0.026213,-0.001728,-6.18%,94.057M,2.285M,2.285M,2.285M,3.588B
SLP-USD,Smooth Love Potion USD,0.002223,-0.000206,-8.49%,93.696M,9.03M,9.03M,9.03M,42.155B
SNT-USD,Status USD,0.024291,-0.001742,-6.69%,93.555M,1.717M,1.717M,1.717M,3.851B
CVC-USD,Civic USD,0.092,-0.007465,-7.50%,92M,9.791M,9.791M,9.791M,1B
MC-USD,Merit Circle USD,0.239526,-0.022822,-8.70%,91.37M,2.812M,2.812M,2.812M,381.462M
CHR-USD,Chromia USD,0.132504,-0.013377,-9.17%,90.971M,9.341M,9.341M,9.341M,686.55M
C98-USD,Coin98 USD,0.190291,-0.022434,-10.55%,88.961M,11.284M,11.284M,11.284M,467.5M
PEOPLE-USD,ConstitutionDAO USD,0.017484,-0.002038,-10.44%,88.472M,19.026M,19.026M,19.026M,5.06B
MLK-USD,MiL.k USD,0.314669,-0.025225,-7.42%,88.234M,6.577M,6.577M,6.577M,280.402M
REQ-USD,Request USD,0.0877,-0.00422,-4.59%,87.679M,1.29M,1.29M,1.29M,999.756M
GTC10052-USD,Gitcoin USD,1.4485,-0.1617,-10.04%,88M,8.155M,8.155M,8.155M,60.752M
SYS-USD,Syscoin USD,0.117003,-0.018849,-13.87%,87.915M,3.584M,3.584M,3.584M,751.392M
WEVER-USD,Wrapped Everscale USD,0.049044,-0.003182,-6.09%,87.894M,"253,213","253,213","253,213",1.792B
ERG-USD,Ergo USD,1.4946,-0.0431,-2.80%,87.642M,"184,827","184,827","184,827",58.638M
ORBS-USD,Orbs USD,0.027346,-0.001905,-6.51%,86.624M,1.947M,1.947M,1.947M,3.168B
HFT22461-USD,Hashflow USD,0.439211,-0.062685,-12.49%,85.895M,20.688M,20.688M,20.688M,195.568M
MRS21178-USD,Metars Genesis USD,1.3662,-0.112,-7.58%,85.864M,"111,113","111,113","111,113",62.85M
ONG3217-USD,Ontology Gas USD,0.249337,-0.019819,-7.36%,85.292M,2.96M,2.96M,2.96M,342.074M
TOMO-USD,TomoChain USD,0.897747,-0.059496,-6.22%,85.512M,11.526M,11.526M,11.526M,95.252M
STEEM-USD,Steem USD,0.196602,-0.014347,-6.80%,85.231M,3.578M,3.578M,3.578M,433.52M
NMR-USD,Numeraire USD,13.67,-1.87,-12.04%,85.181M,4.545M,4.545M,4.545M,6.231M
STPT-USD,STP USD,0.043672,-0.003349,-7.12%,84.83M,4.562M,4.562M,4.562M,1.942B
DERO-USD,Dero USD,6.2136,-0.4218,-6.36%,84.026M,"293,647","293,647","293,647",13.523M
RDNT-USD,Radiant Capital USD,0.319412,-0.062324,-16.33%,83.257M,47.697M,47.697M,47.697M,260.657M
PYR-USD,Pyroblock USD,3.0373,-0.1653,-5.16%,82.56M,4.996M,4.996M,4.996M,27.182M
COTI-USD,COTI USD,0.0684,-0.007514,-9.90%,82.411M,16.93M,16.93M,16.93M,1.205B
MVL-USD,MVL USD,0.003547,-0.000135,-3.66%,81.59M,4.285M,4.285M,4.285M,23.003B
DKA-USD,dKargo USD,0.03181,-0.001904,-5.65%,81.379M,1.321M,1.321M,1.321M,2.558B
DENT-USD,Dent USD,0.000823,-0.00008,-8.86%,81.452M,5.26M,5.26M,5.26M,99.008B
RBN-USD,Ribbon Finance USD,0.151945,-0.009329,-5.78%,81.116M,"477,145","477,145","477,145",533.853M
VBG-USD,Vibing USD,0.565035,0.015679,2.85%,80.845M,"18,766","18,766","18,766",143.08M
MBOX-USD,MOBOX USD,0.422918,-0.032207,-7.08%,81.003M,5.647M,5.647M,5.647M,191.534M
PROM-USD,Prom USD,4.428,-0.4167,-8.60%,80.811M,3.237M,3.237M,3.237M,18.25M
VTHO-USD,VeThor Token USD,0.001301,-0.000031,-2.34%,80.981M,1.385M,1.385M,1.385M,62.237B
EVER-USD,Everscale USD,0.044955,-0.00479,-9.63%,80.567M,"977,263","977,263","977,263",1.792B
USDX6651-USD,USDX [Kava] USD,0.717337,-0.028825,-3.86%,80.031M,1.142M,1.142M,1.142M,111.567M
ARDR-USD,Ardor USD,0.078898,-0.006812,-7.95%,78.819M,1.79M,1.79M,1.79M,998.999M
NYM-USD,NYM USD,0.197516,-0.013522,-6.41%,78.772M,1.157M,1.157M,1.157M,398.811M
LOOKS-USD,LooksRare USD,0.096725,-0.019245,-16.60%,79.45M,6.345M,6.345M,6.345M,821.399M
ALPHA-USD,Alpha Venture DAO USD,0.100982,-0.0101,-9.09%,78.16M,10.321M,10.321M,10.321M,774M
CQT-USD,Covalent USD,0.133249,-0.011005,-7.63%,76.341M,1.54M,1.54M,1.54M,572.92M
POWR-USD,Powerledger USD,0.160006,-0.011639,-6.78%,76.18M,2.611M,2.611M,2.611M,476.107M
BETA-USD,Beta Finance USD,0.1119,0.0108,10.67%,75.782M,23.86M,23.86M,23.86M,677.273M
FLEX-USD,FLEX USD,0.7691,-0.17,-18.10%,75.888M,"626,744","626,744","626,744",98.665M
WIN-USD,WINkLink USD,0.000078,-0.000004,-5.07%,74.601M,7.647M,7.647M,7.647M,961.737B
CFG-USD,Centrifuge USD,0.205309,-0.001583,-0.77%,73.965M,"501,095","501,095","501,095",360.263M
REN-USD,Ren USD,0.0738,-0.0108,-12.80%,73.713M,13.437M,13.437M,13.437M,999.038M
WNXM-USD,Wrapped NXM USD,25.53,-1.04,-3.92%,73.931M,7.096M,7.096M,7.096M,2.896M
CTC-USD,Creditcoin USD,0.333983,-0.038316,-10.29%,73.297M,25.14M,25.14M,25.14M,219.464M
EWT-USD,Energy Web Token USD,2.4191,-0.0188,-0.77%,72.723M,1.064M,1.064M,1.064M,30.062M
UOS-USD,Ultra USD,0.2141,-0.0241,-10.13%,71.865M,1.511M,1.511M,1.511M,335.603M
XVS-USD,Venus USD,4.8104,-0.5967,-11.04%,71.660M,6.397M,6.397M,6.397M,14.897M
REP-USD,Augur USD,6.484,-0.4778,-6.86%,71.324M,2.599M,2.599M,2.599M,11M
STRAX-USD,Stratis USD,0.478087,-0.042573,-8.18%,71.185M,3.631M,3.631M,3.631M,148.897M
GAFI-USD,GameFi.org USD,8.52,0.15,1.75%,71.100M,"111,217","111,217","111,217",8.341M
MNW-USD,Morpheus.Network USD,1.479,-0.0865,-5.53%,69.779M,"264,207","264,207","264,207",47.18M
HOOK-USD,Hooked Protocol USD,1.39,-0.2084,-13.04%,69.502M,25.078M,25.078M,25.078M,50M
MTL-USD,Metal DAO USD,1.0438,-0.1392,-11.77%,69.506M,35.624M,35.624M,35.624M,66.589M
NKN-USD,NKN USD,0.0918,-0.0134,-12.76%,69.266M,6.506M,6.506M,6.506M,754.831M
POND-USD,Marlin USD,0.0085,-0.0009,-9.26%,68.908M,4.216M,4.216M,4.216M,8.087B
BNT-USD,Bancor USD,0.4378,-0.0257,-5.54%,68.499M,3.736M,3.736M,3.736M,156.453M
OXT-USD,Orchid USD,0.0709,-0.0055,-7.14%,68.258M,1.501M,1.501M,1.501M,962.629M
NU-USD,NuCypher USD,0.0958,-0.0055,-5.43%,67.361M,335,335,335,703M
CEL-USD,Celsius USD,0.2764,0.0092,3.45%,66.012M,1.295M,1.295M,1.295M,238.864M
XSGD-USD,XSGD USD,0.7449,-0.0016,-0.21%,65.844M,"932,837","932,837","932,837",88.391M
IQ-USD,IQ USD,0.0052,-0.0004,-6.38%,65.664M,3.007M,3.007M,3.007M,12.521B
MDX-USD,Mdex USD,0.069,-0.0068,-8.96%,65.608M,3.645M,3.645M,3.645M,950.247M
WILD-USD,Wilder World USD,0.2624,-0.0214,-7.54%,65.640M,1.011M,1.011M,1.011M,250.12M
OAS-USD,Oasys USD,0.0792,-0.0033,-4.04%,65.449M,"657,157","657,157","657,157",826.339M
PHA-USD,Phala Network USD,0.1182,-0.0172,-12.74%,65.414M,3.446M,3.446M,3.446M,553.64M
CTK4807-USD,Shentu USD,0.7122,-0.0261,-3.54%,65.135M,3.637M,3.637M,3.637M,91.462M
PENDLE-USD,Pendle USD,0.3129,-0.0637,-16.90%,64.797M,1.963M,1.963M,1.963M,207.072M
FX-USD,Function X USD,0.1578,-0.0085,-5.11%,64.461M,"324,267","324,267","324,267",408.52M
XPLA-USD,XPLA USD,0.3958,-0.0086,-2.14%,63.325M,"516,413","516,413","516,413",160.006M
RACA-USD,RACA USD,0.0002,0,-7.23%,63.189M,4.452M,4.452M,4.452M,409.752B
SPELL-USD,Spell Token USD,0.0006,-0.0001,-9.54%,62.892M,5.87M,5.87M,5.87M,107.406B
ALICE-USD,MyNeighborAlice USD,1.3007,-0.15,-10.34%,62.524M,14.834M,14.834M,14.834M,48.068M
QKC-USD,QuarkChain USD,0.0096,-0.0009,-8.18%,61.744M,3.021M,3.021M,3.021M,6.4B
WMT-USD,World Mobile Token USD,0.1457,-0.0073,-4.80%,59.698M,"884,373","884,373","884,373",409.664M
AURA21532-USD,Aura Finance USD,2.1732,-0.1313,-5.70%,59.677M,"400,599","400,599","400,599",27.461M
VBUSD-USD,Venus BUSD USD,0.0221,0,-0.04%,59.477M,14.388M,14.388M,14.388M,2.695B
LOOM-USD,Loom Network USD,0.0522,-0.0038,-6.83%,59.163M,24.509M,24.509M,24.509M,1.132B
ANKRETH-USD,Ankr Staked ETH USD,"2,018.63",-113.15,-5.31%,59.207M,"28,253","28,253","28,253","29,330"
SFUND-USD,Seedify.fund USD,1.1981,-0.0814,-6.36%,59.173M,2.267M,2.267M,2.267M,49.389M
DUSK-USD,Dusk Network USD,0.1397,-0.0174,-11.07%,58.820M,4.958M,4.958M,4.958M,421.164M
FUN-USD,FUNToken USD,0.0054,-0.0002,-3.29%,58.873M,1.068M,1.068M,1.068M,10.963B
IDEX-USD,IDEX USD,0.0865,-0.0198,-18.60%,58.320M,94.798M,94.798M,94.798M,673.859M
BFC7817-USD,Bifrost USD,0.0536,-0.0011,-1.97%,58.321M,"411,751","411,751","411,751",1.088B
COL-USD,Clash of Lilliput USD,0.7132,0.0072,1.03%,58.537M,"129,626","129,626","129,626",82.074M
ARRR-USD,Pirate Chain USD,0.2954,0.0045,1.56%,57.963M,"77,133","77,133","77,133",196.214M
CORE-USD,cVault.finance USD,"5,789.48",-201.55,-3.36%,57.895M,50,50,50,"10,000"
MFT-USD,Hifi Finance (Old) USD,0.0058,-0.0002,-3.59%,57.821M,"39,578","39,578","39,578",10B
CNNC-USD,Cannation USD,23.2,-10.79,-31.75%,57.463M,11.999M,11.999M,11.999M,2.477M
EXRD-USD,e-Radix USD,0.0781,-0.0086,-9.93%,57.409M,"232,392","232,392","232,392",734.835M
MBX18895-USD,MARBLEX USD,1.0747,-0.124,-10.34%,57.058M,1.697M,1.697M,1.697M,53.094M
VAI-USD,Vai USD,0.9894,-0.0059,-0.59%,56.889M,"30,347","30,347","30,347",57.499M
DEXT-USD,DEXTools USD,0.5863,0.0252,4.50%,55.575M,1.832M,1.832M,1.832M,94.784M
FORT20622-USD,Forta USD,0.2253,-0.0392,-14.81%,55.399M,3.04M,3.04M,3.04M,245.908M
DAR-USD,Mines of Dalarnia USD,0.1385,-0.0163,-10.52%,55.248M,15.54M,15.54M,15.54M,398.954M
TLM-USD,Alien Worlds USD,0.0155,-0.0018,-10.18%,54.743M,7.711M,7.711M,7.711M,3.54B
WRX-USD,WazirX USD,0.1436,-0.0108,-7.00%,54.836M,"990,938","990,938","990,938",381.857M
SUPER8290-USD,SuperVerse USD,0.1354,-0.0171,-11.23%,54.670M,9.043M,9.043M,9.043M,403.83M
DODO-USD,DODO USD,0.1178,-0.0175,-12.94%,53.614M,8.515M,8.515M,8.515M,455.105M
CEEK-USD,CEEK VR USD,0.066,-0.0049,-6.96%,53.215M,6.518M,6.518M,6.518M,805.718M
HIGH-USD,Highstreet USD,1.4865,-0.2232,-13.06%,53.223M,19.978M,19.978M,19.978M,35.805M
BADGER-USD,Badger DAO USD,2.7292,-0.2737,-9.11%,52.651M,7.036M,7.036M,7.036M,19.292M
ORC-USD,Orclands Metaverse USD,0.0826,-0.0027,-3.20%,52.692M,"811,353","811,353","811,353",637.742M
EUROC-USD,Euro Coin USD,1.0966,-0.0055,-0.50%,52.576M,1.62M,1.62M,1.62M,47.944M
XYO-USD,XYO USD,0.0041,-0.0002,-5.70%,52.312M,"537,285","537,285","537,285",12.845B
CCD-USD,Concordium USD,0.0076,-0.0002,-2.50%,52.113M,"532,534","532,534","532,534",6.837B
LINA7102-USD,Linear Finance USD,0.0101,-0.0013,-11.40%,51.853M,22.521M,22.521M,22.521M,5.156B
VEGA-USD,Vega Protocol USD,1.0571,-0.036,-3.29%,51.740M,"387,068","387,068","387,068",48.944M
ASD-USD,ASD USD,0.0781,-0.0156,-16.64%,51.605M,3.782M,3.782M,3.782M,660.615M
BSW-USD,Biswap USD,0.1359,-0.0173,-11.28%,50.708M,5.211M,5.211M,5.211M,373.024M
SUN-USD,Sun (New) USD,0.0054,-0.0003,-5.87%,50.811M,8.977M,8.977M,8.977M,9.391B
MCB-USD,MUX Protocol USD,13.27,-0.51,-3.73%,50.709M,"259,886","259,886","259,886",3.822M
AERGO-USD,Aergo USD,0.1154,-0.0101,-8.08%,50.200M,6.677M,6.677M,6.677M,435M
REEF-USD,Reef USD,0.0022,-0.0002,-9.96%,49.796M,13.211M,13.211M,13.211M,22.821B
TLOS-USD,Telos USD,0.1841,0.0073,4.15%,49.739M,1.547M,1.547M,1.547M,270.123M
VRSC-USD,VerusCoin USD,0.6785,-0.045,-6.22%,49.622M,"10,220","10,220","10,220",73.136M
META-USD,Metadium USD,0.0292,-0.0006,-2.16%,49.325M,5.671M,5.671M,5.671M,1.687B
VERI-USD,Veritaseum USD,22.79,-1.16,-4.84%,48.993M,"14,242","14,242","14,242",2.15M
ARPA-USD,ARPA USD,0.0391,-0.0023,-5.45%,48.571M,65.801M,65.801M,65.801M,1.243B
VGX-USD,Voyager Token USD,0.1745,-0.0148,-7.82%,48.590M,22.541M,22.541M,22.541M,278.482M
SSX-USD,SOMESING USD,0.0173,-0.0013,-6.96%,48.064M,"772,333","772,333","772,333",2.781B
AXEL-USD,AXEL USD,0.1698,-0.0091,-5.11%,48.076M,"43,719","43,719","43,719",283.103M
SOLO-USD,Sologenic USD,0.1196,-0.0079,-6.17%,47.829M,"619,036","619,036","619,036",399.948M
DAWN-USD,Dawn Protocol USD,0.6364,-0.0482,-7.04%,47.389M,"997,626","997,626","997,626",74.464M
OGN-USD,Origin Protocol USD,0.0929,-0.0107,-10.34%,47.278M,7.389M,7.389M,7.389M,509.139M
MBL-USD,MovieBloc USD,0.0029,-0.0002,-6.25%,47.193M,4.518M,4.518M,4.518M,16.039B
QUACK-USD,RichQUACK.com USD,0,0,1.19%,46.816M,1.429M,1.429M,1.429M,"44,085.962T"
STMX-USD,StormX USD,0.0047,-0.0007,-13.61%,47.056M,33.815M,33.815M,33.815M,10B
ARK-USD,Ark USD,0.2768,-0.0222,-7.42%,46.993M,2.684M,2.684M,2.684M,169.777M
ATA-USD,Automata Network USD,0.1286,-0.0182,-12.42%,46.893M,3.07M,3.07M,3.07M,364.635M
VOLT19650-USD,Volt Inu V2 USD,0,0,-5.61%,46.951M,15.019M,15.019M,15.019M,54.766T
TRU7725-USD,TrueFi USD,0.0459,-0.006,-11.55%,46.899M,6.768M,6.768M,6.768M,1.021B
VRA-USD,Verasity USD,0.0045,-0.0005,-10.67%,46.508M,11.92M,11.92M,11.92M,10.306B
TABOO-USD,TABOO TOKEN USD,0.0048,-0.0002,-4.30%,46.477M,1.068M,1.068M,1.068M,9.783B
AMPL-USD,Ampleforth USD,1.005,-0.0059,-0.58%,46.261M,"279,409","279,409","279,409",46.031M
RKN-USD,Rakon USD,0.1881,-0.0081,-4.13%,45.691M,"27,250","27,250","27,250",242.857M
AOG-USD,smARTOFGIVING USD,0.6175,-0.0012,-0.19%,45.562M,"22,694","22,694","22,694",73.78M
CBK-USD,Cobak Token USD,0.6161,-0.0395,-6.02%,45.601M,"999,542","999,542","999,542",74.011M
UTK-USD,Utrust USD,0.091129,-0.006838,-6.98%,45.564M,2.315M,2.315M,2.315M,500M
RSS3-USD,RSS3 USD,0.120319,-0.004324,-3.47%,45.416M,1.546M,1.546M,1.546M,377.463M
TSUKA-USD,Dejitaru Tsuka USD,0.045166,0.012149,36.79%,45.166M,10.146M,10.146M,10.146M,1B
MXC-USD,MXC USD,0.017072,-0.000667,-3.76%,45.107M,1.471M,1.471M,1.471M,2.642B
TKO-USD,Toko Token USD,0.279732,-0.033891,-10.81%,44.915M,3.706M,3.706M,3.706M,160.564M
DG8833-USD,DeGate USD,0.20762,-0.002744,-1.30%,45.062M,"129,571","129,571","129,571",217.041M
XCN18679-USD,Onyxcoin USD,0.001916,-0.000329,-14.64%,44.995M,5.718M,5.718M,5.718M,23.483B
SUSD-USD,sUSD USD,0.993662,-0.004873,-0.49%,44.896M,2.201M,2.201M,2.201M,45.183M
MOVR-USD,Moonriver USD,6.4951,-0.5597,-7.93%,45.106M,2.585M,2.585M,2.585M,6.945M
CWEB-USD,Coinweb USD,0.026387,0.000131,0.50%,44.724M,"267,778","267,778","267,778",1.695B
FORTH-USD,Ampleforth Governance Token USD,2.9199,-0.2644,-8.30%,44.555M,1.668M,1.668M,1.668M,15.259M
CBG-USD,Chainbing USD,1.346,0.2745,25.62%,44.418M,"5,222","5,222","5,222",33M
LCX-USD,LCX USD,0.057698,-0.002404,-4.00%,44.519M,"510,243","510,243","510,243",771.585M
GHST-USD,Aavegotchi USD,0.970608,-0.063387,-6.13%,43.771M,1.889M,1.889M,1.889M,45.096M
DAG-USD,Constellation USD,0.034282,-0.000606,-1.74%,43.432M,"367,192","367,192","367,192",1.267B
STRK-USD,Strike USD,11.71,-0.91,-7.22%,43.295M,1.041M,1.041M,1.041M,3.699M
MTRG-USD,Meter Governance USD,2.5206,-0.1265,-4.78%,43.065M,"159,152","159,152","159,152",17.085M
RLY-USD,Rally USD,0.008585,-0.000757,-8.10%,42.63M,"500,348","500,348","500,348",4.966B
YGG-USD,Yield Guild Games USD,0.181317,-0.024852,-12.05%,42.402M,7.161M,7.161M,7.161M,233.854M
NXRA-USD,AllianceBlock Nexera USD,0.064434,-0.009467,-12.81%,42.315M,1.105M,1.105M,1.105M,656.722M
MLN-USD,Enzyme USD,20.74,-1.05,-4.81%,42.277M,5.486M,5.486M,5.486M,2.039M
CHNG-USD,Chainge USD,0.103402,-0.00627,-5.72%,41.346M,"300,961","300,961","300,961",399.854M
CUSD-USD,Celo Dollar USD,0.999972,0.0018,0.18%,41.533M,1.62M,1.62M,1.62M,41.534M
ZBC-USD,Zebec Protocol USD,0.015169,-0.001131,-6.94%,41.373M,13.311M,13.311M,13.311M,2.727B
ADS-USD,Adshares USD,1.0625,-0.024,-2.21%,41.172M,"162,770","162,770","162,770",38.75M
WAN-USD,Wanchain USD,0.20915,-0.021887,-9.47%,41.101M,"800,727","800,727","800,727",196.514M
ONUS-USD,ONUS USD,0.422957,-0.004415,-1.03%,41.072M,"39,133","39,133","39,133",97.106M
ACA-USD,Acala Token USD,0.061608,-0.01036,-14.40%,40.761M,2.682M,2.682M,2.682M,661.625M
NEST-USD,NEST Protocol USD,0.013993,-0.000822,-5.55%,40.745M,"898,326","898,326","898,326",2.912B
RAY-USD,Raydium USD,0.199006,-0.02377,-10.67%,40.718M,3.173M,3.173M,3.173M,204.608M
ETN-USD,Electroneum USD,0.002265,-0.000163,-6.70%,40.646M,1.181M,1.181M,1.181M,17.945B
NVIR-USD,NvirWorld USD,0.039661,-0.003222,-7.51%,40.558M,1.554M,1.554M,1.554M,1.023B
TT-USD,ThunderCore USD,0.00391,-0.000324,-7.64%,39.988M,4.333M,4.333M,4.333M,10.226B
KLV-USD,Klever USD,0.004485,-0.000479,-9.65%,39.833M,1.546M,1.546M,1.546M,8.881B
ZEON-USD,ZEON USD,0.001301,-0.00001,-0.74%,39.733M,"6,958","6,958","6,958",30.529B
KMD-USD,Komodo USD,0.291462,-0.025525,-8.05%,39.625M,1.744M,1.744M,1.744M,135.954M
XCAD-USD,XCAD Network USD,0.948793,-0.081269,-7.89%,39.239M,3.568M,3.568M,3.568M,41.357M
OUSD-USD,Origin Dollar USD,0.997971,0.000653,0.07%,38.697M,1.382M,1.382M,1.382M,38.776M
RARE11294-USD,SuperRare USD,0.10366,-0.009292,-8.23%,38.527M,2.714M,2.714M,2.714M,371.662M
BEL-USD,Bella Protocol USD,0.639486,-0.093684,-12.78%,38.369M,13.803M,13.803M,13.803M,60M
SAITAMA20513-USD,Saitama USD,0.000988,-0.000065,-6.17%,38.143M,"887,594","887,594","887,594",38.606B
HUNT-USD,HUNT USD,0.344078,-0.025493,-6.90%,37.972M,2.454M,2.454M,2.454M,110.357M
DPI-USD,DeFi Pulse Index USD,67.75,-4.96,-6.82%,37.871M,"56,990","56,990","56,990","558,983"
FLM-USD,Flamingo USD,0.079649,-0.010197,-11.35%,37.638M,1.774M,1.774M,1.774M,472.546M
MCT16946-USD,Metacraft USD,0.713674,0.05657,8.61%,37.583M,"43,686","43,686","43,686",52.661M
VLX-USD,Velas USD,0.015175,-0.000298,-1.93%,37.14M,"960,815","960,815","960,815",2.447B
FCTFCT2-USD,FirmaChain USD,0.05602,-0.002262,-3.88%,37.097M,12.966M,12.966M,12.966M,662.218M
PERP-USD,Perpetual Protocol USD,0.561184,-0.091187,-13.98%,37.039M,4.984M,4.984M,4.984M,66.002M
BTM-USD,Bytom USD,0.020626,-0.00119,-5.46%,37.009M,"320,990","320,990","320,990",1.794B
GODS-USD,Gods Unchained USD,0.171928,-0.023991,-12.25%,36.98M,1.544M,1.544M,1.544M,215.089M
TVK-USD,Virtua USD,0.034571,-0.003142,-8.33%,36.344M,4.317M,4.317M,4.317M,1.051B
CRE-USD,Carry USD,0.004133,-0.00006,-1.44%,36.331M,26.992M,26.992M,26.992M,8.791B
POLS-USD,Polkastarter USD,0.366427,-0.043673,-10.65%,36.357M,3.949M,3.949M,3.949M,99.221M
CITY10049-USD,Manchester City Fan Token USD,6.153,-0.3096,-4.79%,35.996M,7.347M,7.347M,7.347M,5.85M
UQC-USD,Uquid Coin USD,3.5912,-0.0996,-2.70%,35.912M,"284,764","284,764","284,764",10M
EFI-USD,Efinity Token USD,0.057311,-0.001357,-2.31%,35.675M,"519,544","519,544","519,544",622.493M
KSP-USD,KLAYswap Protocol USD,0.64234,-0.034409,-5.08%,35.2M,"324,338","324,338","324,338",54.799M
LTO-USD,LTO Network USD,0.085152,-0.010349,-10.84%,35.268M,2.07M,2.07M,2.07M,414.173M
BAR-USD,FC Barcelona Fan Token USD,3.7405,-0.2837,-7.05%,35.181M,2.633M,2.633M,2.633M,9.406M
DXD-USD,DXdao USD,712.2,-22.77,-3.10%,35.126M,"8,358","8,358","8,358","49,320"
BLOK-USD,Bloktopia USD,0.002002,-0.000024,-1.19%,35.107M,"728,035","728,035","728,035",17.537B
ORN-USD,Orion Protocol USD,1.0243,-0.1911,-15.72%,34.975M,18.417M,18.417M,18.417M,34.146M
YFII-USD,DFI.Money USD,907.08,-101.55,-10.07%,35.01M,12.28M,12.28M,12.28M,"38,596"
CTXC-USD,Cortex USD,0.165044,-0.017987,-9.83%,34.98M,2.146M,2.146M,2.146M,211.944M
ROOK-USD,Rook USD,56.14,-0.39,-0.69%,34.671M,"265,316","265,316","265,316","617,636"
OPUL-USD,Opulous USD,0.151984,-0.002873,-1.86%,34.586M,1.43M,1.43M,1.43M,227.564M
GRV-USD,Grove Coin USD,0.35954,-0.002652,-0.73%,34.186M,5.4M,5.4M,5.4M,95.083M
HIFI23037-USD,Hifi Finance USD,0.35985,-0.025256,-6.56%,34.19M,4.87M,4.87M,4.87M,95.013M
MOC-USD,Moss Coin USD,0.088847,-0.005,-5.33%,33.729M,"994,299","994,299","994,299",379.624M
FEI-USD,Fei USD USD,0.95342,-0.03639,-3.68%,33.692M,"304,302","304,302","304,302",35.338M
BIFI7311-USD,Beefy Finance USD,420.33,-15.52,-3.56%,33.626M,1.165M,1.165M,1.165M,"80,000"
SWEAT-USD,Sweat Economy USD,0.007123,-0.000996,-12.27%,33.56M,1.595M,1.595M,1.595M,4.712B
XPRT-USD,Persistence USD,0.202891,-0.003634,-1.76%,33.137M,"235,418","235,418","235,418",163.326M
VUSDT-USD,Venus USDT USD,0.022271,-0.000003,-0.01%,33.099M,54.053M,54.053M,54.053M,1.486B
QUICK19966-USD,Quickswap [New] USD,0.062123,-0.002736,-4.22%,32.925M,2.566M,2.566M,2.566M,530M
ALCX-USD,Alchemix USD,18.1,-1.22,-6.33%,32.818M,4.386M,4.386M,4.386M,1.814M
LYRA15447-USD,Lyra USD,0.088983,-0.005404,-5.72%,32.659M,"305,211","305,211","305,211",367.027M
LIT6833-USD,Litentry USD,0.82304,-0.094622,-10.31%,32.608M,6.212M,6.212M,6.212M,39.619M
WAIT-USD,Hourglass USD,0.333488,0.0196,6.24%,32.668M,"223,252","223,252","223,252",97.96M
